idsubserie,"nombre","descripcion","created_at","idusuario"
1,"Expedientes de Procesos Judiciales","Expedientes de Procesos Judiciales","2021-01-20 17:14:06","1"
2,"Expedientes de Procesos Judiciales Acciones de Reparación Directa","Expedientes de Procesos Judiciales Acciones de Reparación Directa","2021-01-23 07:52:48","1"
3,"Expedientes de Procesos Judiciales Agrarios","Expedientes de Procesos Judiciales Agrarios","2021-01-20 17:14:39","1"
4,"Expedientes de Procesos Judiciales Contenciosos de Mayor Cuantía Civiles","Expedientes de Procesos Judiciales Contenciosos de Mayor Cuantía Civiles","2021-01-20 17:14:54","1"
5,"Expedientes de Procesos Judiciales Contenciosos de Mayor Cuantía Jurisdicción Civil","Expedientes de Procesos Judiciales Contenciosos de Mayor Cuantía Jurisdicción Civil","2021-01-20 17:15:08","1"
6,"Expedientes de Procesos Judiciales Contenciosos de Mayor Cuantía Laborales","Expedientes de Procesos Judiciales Contenciosos de Mayor Cuantía Laborales","2021-01-20 17:15:21","1"
7,"Expedientes de Procesos Judiciales Contenciosos de Mínima Y Menor Cuantía Jurisdicción Civil","Expedientes de Procesos Judiciales Contenciosos de Mínima Y Menor Cuantía Jurisdicción Civil","2021-01-20 17:15:33","1"
8,"Expedientes de Procesos Judiciales Contenciosos de Mínima Y Menor Cuantía Jurisdicción Familia","Expedientes de Procesos Judiciales Contenciosos de Mínima Y Menor Cuantía Jurisdicción Familia","2021-01-20 17:15:46","1"
9,"Expedientes de Procesos Judiciales Contenciosos Jurisdicción Penal Ley 600 de 2000","Expedientes de Procesos Judiciales Contenciosos Jurisdicción Penal Ley 600 de 2000","2021-01-20 17:16:00","1"
10,"Expedientes de Procesos Judiciales Contenciosos Jurisdicción Penal Ley 906 de 2004","Expedientes de Procesos Judiciales Contenciosos Jurisdicción Penal Ley 906 de 2004","2021-01-20 17:16:14","1"
11,"Expedientes de Procesos Judiciales de Controversias Contractuales","Expedientes de Procesos Judiciales de Controversias Contractuales","2021-01-20 17:16:31","1"
12,"Expedientes de Procesos Judiciales de Conflictos de Competencia","Expedientes de Procesos Judiciales de Conflictos de Competencia","2021-01-20 17:16:45","1"
13,"Expedientes de Procesos Judiciales de Demanda de Inconstitucionalidad","Expedientes de Procesos Judiciales de Demanda de Inconstitucionalidad","2021-01-20 17:17:01","1"
14,"Expedientes de Procesos Judiciales de Excusa","Expedientes de Procesos Judiciales de Excusa","2021-01-20 17:17:18","1"
15,"Expedientes de Procesos Judiciales de Extinción de Dominio","Expedientes de Procesos Judiciales de Extinción de Dominio","2021-01-20 17:17:30","1"
16,"Expedientes de Procesos Judiciales de Extradición","Expedientes de Procesos Judiciales de Extradición","2021-01-20 17:17:46","1"
17,"Expedientes de Procesos Judiciales de Familia","Expedientes de Procesos Judiciales de Familia","2021-01-20 17:17:58","1"
18,"Expedientes de Procesos Judiciales de Nulidad","Expedientes de Procesos Judiciales de Nulidad","2021-01-20 17:18:11","1"
19,"Expedientes de Procesos Judiciales de Nulidad Electoral","Expedientes de Procesos Judiciales de Nulidad Electoral","2021-01-20 17:18:23","1"
20,"Expedientes de Procesos Judiciales de Nulidad Por Inconstitucionalidad","Expedientes de Procesos Judiciales de Nulidad Por Inconstitucionalidad","2021-01-20 17:18:36","1"
21,"Expedientes de Procesos Judiciales de Nulidad Simple Contra Consejo de Estado","Expedientes de Procesos Judiciales de Nulidad Simple Contra Consejo de Estado","2021-01-20 17:20:13","1"
22,"Expedientes de Procesos Judiciales de Nulidad y Restablecimiento del Derecho","Expedientes de Procesos Judiciales de Nulidad y Restablecimiento del Derecho","2021-01-20 17:22:29","1"
23,"Expedientes de Procesos Judiciales de Objeciones de Inconstitucionalidad","Expedientes de Procesos Judiciales de Objeciones de Inconstitucionalidad","2021-01-20 17:22:47","1"
24,"Expedientes de Procesos Judiciales de Proyectos de Leyes Estatutarias","Expedientes de Procesos Judiciales de Proyectos de Leyes Estatutarias","2021-01-20 17:23:05","1"
25,"Expedientes de Procesos Judiciales de Reparación Directa","Expedientes de Procesos Judiciales de Reparación Directa","2021-01-20 17:23:17","1"
26,"Expedientes de Procesos Judiciales de Repetición","Expedientes de Procesos Judiciales de Repetición","2021-01-20 17:23:41","1"
27,"Expedientes de Procesos Judiciales de restitución de Inmuebles Arrendados","Expedientes de Procesos Judiciales de restitución de Inmuebles Arrendados","2021-01-20 17:23:54","1"
28,"Expedientes de Procesos Judiciales de Restitución de Tierras","Expedientes de Procesos Judiciales de Restitución de Tierras","2021-01-20 17:24:09","1"
29,"Expedientes de Procesos Judiciales de Revisión","Expedientes de Procesos Judiciales de Revisión","2021-01-20 17:25:28","1"
30,"Expedientes de Procesos Judiciales de Revisión de convocatoria a Referendo","Expedientes de Procesos Judiciales de Revisión de convocatoria a Referendo","2021-01-20 17:25:42","1"
31,"Expedientes de Procesos Judiciales de Revisión de Decretos para la Paz","Expedientes de Procesos Judiciales de Revisión de Decretos para la Paz","2021-01-20 17:25:57","1"
32,"Expedientes de Procesos Judiciales de Revisión de Leyes, Actos Legislativos y Proyectos de Leyes Estatutarias para la Paz","Expedientes de Procesos Judiciales de Revisión de Leyes, Actos Legislativos y Proyectos de Leyes Estatutarias para la Paz","2021-01-20 17:26:12","1"
33,"Expedientes de Procesos Judiciales de Revisión de Leyes Aprobatorias de Tratados Internacionales","Expedientes de Procesos Judiciales de Revisión de Leyes Aprobatorias de Tratados Internacionales","2021-01-20 17:26:32","1"
34,"Expedientes de Procesos Judiciales de Simple Nulidad","Expedientes de Procesos Judiciales de Simple Nulidad","2021-01-20 17:27:14","1"
35,"Expedientes de Procesos Judiciales Declarativos","Expedientes de Procesos Judiciales Declarativos","2021-01-20 17:27:32","1"
